50
Kbt
U(Kbt,L)
2,0.646021,0.000582562
2.008,0.645738,0.0011421
2.016,0.641615,0.00125332
2.024,0.644012,0.000642198
2.032,0.646504,0.00185127
2.04,0.640429,0.00125652
2.048,0.640017,0.00164406
2.056,0.641982,0.00100704
2.064,0.640282,0.001386
2.072,0.637814,0.00141343
2.08,0.636054,0.00113935
2.088,0.6387,0.001188
2.096,0.637424,0.00149496
2.104,0.63356,0.000487384
2.112,0.638723,0.000385861
2.12,0.632536,0.00160986
2.128,0.634929,0.00102807
2.136,0.630294,0.00193016
2.144,0.632819,0.00125744
2.152,0.630588,0.00235729
2.16,0.631285,0.0011477
2.168,0.628804,0.00152001
2.176,0.628956,0.00115072
2.184,0.624698,0.00128944
2.192,0.625202,0.00127162
2.2,0.62539,0.00166918
2.208,0.621106,0.00109158
2.216,0.621565,0.00224556
2.224,0.617464,0.00261438
2.232,0.624573,0.000937442
2.24,0.62194,0.000951901
2.248,0.620354,0.00114963
2.256,0.613775,0.0020149
2.264,0.615064,0.00300952
2.272,0.616522,0.00181996
2.28,0.612195,0.00260547
2.288,0.609353,0.00215157
2.296,0.609706,0.00310093
2.304,0.603643,0.00289517
2.312,0.598522,0.00266463
2.32,0.606582,0.00280401
2.328,0.597172,0.00127175
2.336,0.600789,0.00256799
2.344,0.598048,0.0032901
2.352,0.600763,0.00326483
2.36,0.594382,0.00477043
2.368,0.592039,0.00262202
2.376,0.595906,0.000972224
2.384,0.590149,0.00283638
2.392,0.57744,0.00422958
