50
Kbt
U(Kbt,L)
2,0.661855,8.79503e-05
2.008,0.661232,0.000151996
2.016,0.660456,0.000290486
2.024,0.660123,0.000442886
2.032,0.660737,0.000363449
2.04,0.660115,0.000370945
2.048,0.659361,0.000585492
2.056,0.655449,0.00162975
2.064,0.658355,0.000304456
2.072,0.659365,8.61955e-05
2.08,0.658386,0.000248161
2.088,0.658104,0.000172088
2.096,0.656956,0.000167531
2.104,0.657001,0.000799086
2.112,0.653795,0.000647031
2.12,0.655939,0.000498443
2.128,0.654227,0.000677707
2.136,0.653071,0.00126973
2.144,0.652554,0.00104398
2.152,0.646397,0.000392072
2.16,0.645585,0.00149174
2.168,0.647898,0.000756433
2.176,0.64356,0.000812722
2.184,0.643654,0.00105331
2.192,0.643266,0.000509161
2.2,0.642904,0.00183389
2.208,0.638738,0.00164421
2.216,0.632854,0.00118808
2.224,0.638738,0.000775684
2.232,0.627964,0.00210853
2.24,0.627577,0.00370885
2.248,0.624915,0.00260265
2.256,0.612835,0.00210552
2.264,0.616098,0.00105064
2.272,0.605584,0.00320481
2.28,0.58536,0.00218589
2.288,0.592905,0.00154215
2.296,0.592555,0.00346383
2.304,0.587871,0.00262803
2.312,0.578418,0.00232212
2.32,0.562571,0.00539618
2.328,0.554825,0.0053949
2.336,0.539025,0.00666
2.344,0.546808,0.00328863
2.352,0.526633,0.0061235
2.36,0.52051,0.00561344
2.368,0.504115,0.00435405
2.376,0.500401,0.0027234
2.384,0.478903,0.00243836
2.392,0.474877,0.00619187
