50
Kbt
U(Kbt,L)
2,0.648866,0.00442152
2.008,0.656686,0.00111503
2.016,0.654216,0.00186664
2.024,0.647462,0.00536471
2.032,0.659851,0.00120779
2.04,0.654323,0.00194773
2.048,0.656193,0.00138209
2.056,0.64917,0.00346075
2.064,0.656466,0.00065487
2.072,0.647036,0.00269596
2.08,0.651756,0.00302175
2.088,0.659127,0.00049641
2.096,0.657938,0.00119242
2.104,0.658877,0.00042336
2.112,0.652011,0.00173566
2.12,0.655087,0.00102586
2.128,0.630497,0.0052516
2.136,0.646407,0.00428094
2.144,0.65645,0.000756898
2.152,0.655769,0.00089881
2.16,0.658326,0.00109975
2.168,0.656482,0.00052538
2.176,0.647927,0.00169755
2.184,0.648708,0.00225352
2.192,0.651637,0.00118505
2.2,0.645575,0.00387168
2.208,0.64578,0.00366436
2.216,0.645735,0.00202761
2.224,0.639023,0.00323384
2.232,0.62878,0.00434289
2.24,0.632475,0.00283855
2.248,0.617785,0.0060997
2.256,0.623251,0.00652588
2.264,0.622985,0.00386528
2.272,0.548379,0.020665
2.28,0.596834,0.0081093
2.288,0.57072,0.00254792
2.296,0.537601,0.0128995
2.304,0.497312,0.00688122
2.312,0.511133,0.00992251
2.32,0.4915,0.0134158
2.328,0.40435,0.0141152
2.336,0.397265,0.0200426
2.344,0.331244,0.0221641
2.352,0.330897,0.0150149
2.36,0.338266,0.0102596
2.368,0.310181,0.0250715
2.376,0.283919,0.0121846
2.384,0.252036,0.0190485
2.392,0.186991,0.0344837
