50
Kbt
U(Kbt,L)
2,0.652795,0.00106848
2.008,0.649596,0.000843628
2.016,0.653184,0.000708388
2.024,0.649879,0.000809229
2.032,0.651978,0.000534331
2.04,0.649975,0.000896606
2.048,0.648571,0.000443386
2.056,0.648053,0.000879883
2.064,0.646043,0.000828226
2.072,0.644444,0.00157811
2.08,0.648177,0.000902244
2.088,0.64549,0.000673993
2.096,0.641872,0.00117071
2.104,0.6428,0.00140021
2.112,0.646876,0.000642785
2.12,0.642742,0.000783514
2.128,0.642344,0.000698281
2.136,0.634417,0.00100941
2.144,0.636673,0.00130668
2.152,0.633298,0.00135577
2.16,0.633863,0.00114249
2.168,0.632912,0.000789225
2.176,0.632955,0.00199284
2.184,0.629376,0.0017036
2.192,0.625311,0.00192866
2.2,0.625861,0.000436696
2.208,0.629752,0.0014856
2.216,0.622312,0.00213156
2.224,0.622499,0.00134481
2.232,0.624916,0.000407797
2.24,0.623953,0.00209228
2.248,0.622097,0.00159011
2.256,0.616589,0.00212277
2.264,0.61367,0.00098606
2.272,0.612479,0.00217145
2.28,0.602511,0.00267542
2.288,0.602969,0.00279476
2.296,0.601761,0.00152094
2.304,0.603587,0.00193045
2.312,0.599472,0.00255414
2.32,0.591417,0.0028499
2.328,0.589733,0.00248477
2.336,0.594275,0.00132553
2.344,0.589604,0.000682971
2.352,0.587414,0.0043948
2.36,0.583138,0.00128411
2.368,0.585104,0.00191154
2.376,0.578448,0.00230062
2.384,0.570837,0.0048834
2.392,0.570262,0.0025769
