50
Kbt
U(Kbt,L)
2,0.659901,0.000467572
2.008,0.65522,0.00342164
2.016,0.655446,0.00220113
2.024,0.647107,0.00443365
2.032,0.656634,0.0016721
2.04,0.653467,0.00224097
2.048,0.654171,0.00310696
2.056,0.649353,0.00234077
2.064,0.659193,0.000792489
2.072,0.659705,0.0010781
2.08,0.657912,0.000998721
2.088,0.64972,0.0048223
2.096,0.653848,0.00173114
2.104,0.653065,0.00278703
2.112,0.657467,0.00106706
2.12,0.654438,0.000511796
2.128,0.658444,0.00095312
2.136,0.653876,0.00179502
2.144,0.655982,0.00122548
2.152,0.650831,0.00167444
2.16,0.657124,0.00056281
2.168,0.648818,0.00251042
2.176,0.651305,0.00118063
2.184,0.651311,0.00200402
2.192,0.652842,0.000626874
2.2,0.64868,0.000832936
2.208,0.647142,0.00152216
2.216,0.644054,0.00167221
2.224,0.641339,0.00136056
2.232,0.637458,0.00367073
2.24,0.633944,0.00479367
2.248,0.629717,0.00386829
2.256,0.613286,0.00275575
2.264,0.616896,0.00423344
2.272,0.58817,0.008132
2.28,0.585634,0.0099075
2.288,0.527133,0.016729
2.296,0.550479,0.011003
2.304,0.561912,0.00617733
2.312,0.518755,0.0146681
2.32,0.51396,0.00671903
2.328,0.462196,0.00901203
2.336,0.399695,0.0170914
2.344,0.436316,0.014789
2.352,0.387089,0.0218357
2.36,0.333458,0.019525
2.368,0.32952,0.00885817
2.376,0.277034,0.0208716
2.384,0.318233,0.00927785
2.392,0.285579,0.023331
