50
Kbt
U(Kbt,L)
2,0.653913,0.000606463
2.008,0.654422,0.000623794
2.016,0.653568,0.000619112
2.024,0.654091,0.000920049
2.032,0.65275,0.000833402
2.04,0.653732,0.000291077
2.048,0.653916,0.000692979
2.056,0.651665,0.000606026
2.064,0.650454,0.000838589
2.072,0.652143,0.000499687
2.08,0.649652,0.000386884
2.088,0.647282,0.00101348
2.096,0.647367,0.000945937
2.104,0.646293,0.0015987
2.112,0.647835,0.000635727
2.12,0.646811,0.000700976
2.128,0.641198,0.000729625
2.136,0.644125,0.000294653
2.144,0.63878,0.00116695
2.152,0.640264,0.00124104
2.16,0.633709,0.000883856
2.168,0.637387,0.00138631
2.176,0.635962,0.000810411
2.184,0.630148,0.000868441
2.192,0.634265,0.00150859
2.2,0.629433,0.00156897
2.208,0.628981,0.00144467
2.216,0.628636,0.00172525
2.224,0.619142,0.00105459
2.232,0.618509,0.00294534
2.24,0.621833,0.000719157
2.248,0.611687,0.00194674
2.256,0.606689,0.00104499
2.264,0.613,0.00116133
2.272,0.60227,0.00236493
2.28,0.610335,0.00121963
2.288,0.609131,0.00136348
2.296,0.599283,0.00167895
2.304,0.592437,0.00236225
2.312,0.597897,0.00188393
2.32,0.585957,0.00240152
2.328,0.589327,0.00477767
2.336,0.582593,0.00168797
2.344,0.578695,0.00035073
2.352,0.57545,0.00301244
2.36,0.575841,0.00316131
2.368,0.561442,0.00384712
2.376,0.563417,0.00397879
2.384,0.556529,0.00444627
2.392,0.558512,0.00398733
