50
Kbt
U(Kbt,L)
2,0.647332,0.000979243
2.008,0.648765,0.000376734
2.016,0.650364,0.000329612
2.024,0.64422,0.00149989
2.032,0.643689,0.000894305
2.04,0.645277,0.00089379
2.048,0.642849,0.000695714
2.056,0.646763,0.00154638
2.064,0.639049,0.000346846
2.072,0.644868,0.00113226
2.08,0.640398,0.000978916
2.088,0.638568,0.00161419
2.096,0.638779,0.000714662
2.104,0.63331,0.00156767
2.112,0.639601,0.00128147
2.12,0.637132,0.00037588
2.128,0.631754,0.00142342
2.136,0.637142,0.00173945
2.144,0.634335,0.00131589
2.152,0.633557,0.00096754
2.16,0.62978,0.00114706
2.168,0.629589,0.00060246
2.176,0.630142,0.00122545
2.184,0.625959,0.0014723
2.192,0.619399,0.00217293
2.2,0.617553,0.0026022
2.208,0.619777,0.00213083
2.216,0.625814,0.00158346
2.224,0.6229,0.000608542
2.232,0.610363,0.00270754
2.24,0.613716,0.00247659
2.248,0.617593,0.000736679
2.256,0.611526,0.00280429
2.264,0.613395,0.00201359
2.272,0.615473,0.00319944
2.28,0.606817,0.0017027
2.288,0.610111,0.00194401
2.296,0.609487,0.00128985
2.304,0.602206,0.00318945
2.312,0.604358,0.00127895
2.32,0.608195,0.001681
2.328,0.593292,0.00385696
2.336,0.595888,0.00262083
2.344,0.603081,0.00218237
2.352,0.590518,0.00270669
2.36,0.597291,0.00315503
2.368,0.590575,0.00408495
2.376,0.591487,0.00143158
2.384,0.584788,0.00140644
2.392,0.582636,0.0032262
