50
Kbt
U(Kbt,L)
2,0.65311,0.000384669
2.008,0.65483,0.000683852
2.016,0.653508,0.000566476
2.024,0.652311,0.000417361
2.032,0.652308,0.000350039
2.04,0.648495,0.000384073
2.048,0.6505,0.000374308
2.056,0.647927,0.000659275
2.064,0.649711,0.000638755
2.072,0.647475,0.00126232
2.08,0.642781,0.00114423
2.088,0.648013,0.00149116
2.096,0.644138,0.000591848
2.104,0.644546,0.000921168
2.112,0.642265,0.000920979
2.12,0.645144,0.00066548
2.128,0.642983,0.000745878
2.136,0.643068,0.000609695
2.144,0.636047,0.00150098
2.152,0.639892,0.00219804
2.16,0.632012,0.00120274
2.168,0.632346,0.00147092
2.176,0.631622,0.000820503
2.184,0.629195,0.00169392
2.192,0.630115,0.000501036
2.2,0.631621,0.001037
2.208,0.631551,0.00181801
2.216,0.625157,0.00157956
2.224,0.620492,0.00273037
2.232,0.617846,0.00215676
2.24,0.619771,0.000876806
2.248,0.617455,0.00159177
2.256,0.612183,0.00224813
2.264,0.609946,0.00157227
2.272,0.610427,0.00148766
2.28,0.608542,0.00139181
2.288,0.608863,0.00113855
2.296,0.602132,0.00360328
2.304,0.589081,0.00276012
2.312,0.590812,0.00266596
2.32,0.59986,0.00175806
2.328,0.597809,0.00261978
2.336,0.595119,0.00307131
2.344,0.587061,0.00166509
2.352,0.581779,0.00270277
2.36,0.58274,0.00144106
2.368,0.567073,0.00390367
2.376,0.565026,0.00333814
2.384,0.564249,0.00232621
2.392,0.553077,0.00365972
