50
Kbt
U(Kbt,L)
2,0.649637,0.000807468
2.008,0.646708,0.000367728
2.016,0.647967,0.000849954
2.024,0.647977,0.00116575
2.032,0.649326,0.00115572
2.04,0.648007,0.000857973
2.048,0.647575,0.000636762
2.056,0.645211,0.00137423
2.064,0.643041,0.00116354
2.072,0.640413,0.001157
2.08,0.642171,0.000838817
2.088,0.643659,0.000534042
2.096,0.639853,0.000814068
2.104,0.643488,0.000657489
2.112,0.640306,0.0015102
2.12,0.635397,0.00114611
2.128,0.636471,0.00138989
2.136,0.636043,0.000987534
2.144,0.636769,0.00114277
2.152,0.636653,0.00131964
2.16,0.634257,0.00227955
2.168,0.632055,0.00118286
2.176,0.629538,0.00168413
2.184,0.629302,0.00110834
2.192,0.630119,0.000643539
2.2,0.63116,0.00158582
2.208,0.623688,0.00301242
2.216,0.622698,0.00176581
2.224,0.624144,0.000918529
2.232,0.609966,0.00287091
2.24,0.614457,0.00137749
2.248,0.615851,0.00206137
2.256,0.615333,0.0011681
2.264,0.617676,0.0013997
2.272,0.604276,0.00170983
2.28,0.609055,0.0027733
2.288,0.606016,0.00342363
2.296,0.604393,0.00382365
2.304,0.594535,0.000791935
2.312,0.598309,0.00364386
2.32,0.598537,0.000718978
2.328,0.595604,0.00376955
2.336,0.594879,0.00327371
2.344,0.594732,0.00476448
2.352,0.58711,0.00361028
2.36,0.577817,0.00320509
2.368,0.578099,0.00311083
2.376,0.592605,0.00164958
2.384,0.583384,0.00341738
2.392,0.579627,0.0038614
